"uuid","name","primary_entity_uuid","field_service_group_uuid","status","site_created_on","site_id","type","business_criticality","opening_hours","parent_uuid","phone","time_zone","street","city","state_province","country","postal_code","comments","alternative_site_reference","wan_design","network_telecom_service","created_at","updated_at"
"e8082c1f-9998-4b8f-855c-669bb109987d","Site Paris","ddb352fe-50c7-42ff-b744-634ea9dd716d",NULL,"ACTIVE","2024-07-11 18:52:47.375791+02","SITE-75001","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 741353023","Europe/Paris","20 rue du Général de Gaulle","Paris","Île-de-France","France","75001","Site créé le 2025-02-13","REF-75001","SD-WAN","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"4670e442-479d-49c1-96f1-6fe1ebd40f96","Site Versailles",NULL,NULL,"ACTIVE","2024-12-17 18:52:47.375791+01","SITE-78000","BRANCH_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 359406193","Europe/Paris","66 rue Victor Hugo","Versailles","Île-de-France","France","78000","Site créé le 2025-02-13","REF-78000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"0a82f754-f83b-484d-9bba-1ab5a6ce7f26","Site Boulogne-Billancourt",NULL,NULL,"ACTIVE","2024-12-06 18:52:47.375791+01","SITE-92100","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 280226756","Europe/Paris","84 rue Jean Jaurès","Boulogne-Billancourt","Île-de-France","France","92100","Site créé le 2025-02-13","REF-92100","HYBRID","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"1f828da6-bf80-4932-90df-300930f18f5d","Site Saint-Denis",NULL,NULL,"ACTIVE","2024-02-22 18:52:47.375791+01","SITE-93200","DATA_CENTER","HIGH","8:00-19:00",NULL,"+33 491600336","Europe/Paris","73 rue de la Liberté","Saint-Denis","Île-de-France","France","93200","Site créé le 2025-02-13","REF-93200","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"e802b446-9bb6-48d1-b2a9-acebce3e7844","Site Créteil",NULL,NULL,"ACTIVE","2024-04-25 18:52:47.375791+02","SITE-94000","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 957340521","Europe/Paris","94000 Créteil","Créteil","Île-de-France","France","94000","Site créé le 2025-02-13","REF-94000","MPLS","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"bb413cd7-449f-4bc6-8cf2-a9e8f962c49d","Site Lyon","32488908-e614-4927-849a-a76b24127a92",NULL,"ACTIVE","2024-04-24 18:52:47.375791+02","SITE-69001","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 351662774","Europe/Paris","42 rue du Général de Gaulle","Lyon","Auvergne-Rhône-Alpes","France","69001","Site créé le 2025-02-13","REF-69001","HYBRID","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"817b15ea-3574-4bf2-a791-894a2dad43d0","Site Grenoble",NULL,NULL,"ACTIVE","2024-09-01 18:52:47.375791+02","SITE-38000","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 124330839","Europe/Paris","66 rue Victor Hugo","Grenoble","Auvergne-Rhône-Alpes","France","38000","Site créé le 2025-02-13","REF-38000","SD-WAN","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"0d952782-3c3a-4ed0-934f-3f6dcf99d0ad","Site Saint-Étienne",NULL,NULL,"ACTIVE","2025-01-23 18:52:47.375791+01","SITE-42000","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 910469163","Europe/Paris","99 rue de la Liberté","Saint-Étienne","Auvergne-Rhône-Alpes","France","42000","Site créé le 2025-02-13","REF-42000","HYBRID","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"6692c833-faa9-4581-a493-46a59df3a543","Site Clermont-Ferrand",NULL,NULL,"ACTIVE","2024-11-19 18:52:47.375791+01","SITE-63000","DATA_CENTER","HIGH","8:00-19:00",NULL,"+33 6050961571","Europe/Paris","63000 Clermont-Ferrand","Clermont-Ferrand","Auvergne-Rhône-Alpes","France","63000","Site créé le 2025-02-13","REF-63000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"b73daaad-0c1d-49ef-a279-b432554c3083","Site Annecy",NULL,NULL,"ACTIVE","2024-08-10 18:52:47.375791+02","SITE-74000","BRANCH_OFFICE","HIGH","8:00-19:00",NULL,"+33 391540217","Europe/Paris","74000 Annecy","Annecy","Auvergne-Rhône-Alpes","France","74000","Site créé le 2025-02-13","REF-74000","SD-WAN","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
